#META|ref=04/2026|gerado=2026-07-21|fonte=SUDECAP
03.05.05|ESCAVAÇÃO E CARGA MECANIZADA COM PÁ CARREGADEIRA EM MATERIAL DE 2ª CATEGORIA|M3
03.05.06|ESCAVAÇÃO E CARGA MECANIZADA COM ESCAVADEIRA EM MATERIAL DE 1ª CATEGORIA|M3
03.05.07|ESCAVAÇÃO E CARGA MECANIZADA COM ESCAVADEIRA EM MATERIAL DE 2ª CATEGORIA|M3
03.05.08|ESCAVAÇÃO E CARGA MECANIZADA COM ESCAVADEIRA EM MATERIAL DE 1ª CATEGORIA EM VIAS URBANAS|M3
03.05.09|ESCAVAÇÃO E CARGA MECANIZADA COM ESCAVADEIRA EM MATERIAL DE 2ª CATEGORIA EM VIAS URBANAS|M3
03.12.01|CARGA MANUAL DE MATERIAL DE QUALQUER NATUREZA SOBRE CAMINHÃO|M3
03.12.03|CARGA MECÂNICA DE MATERIAL DE QUALQUER NATUREZA SOBRE CAMINHÃO|M3
03.13.01|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA, DMT <= 1KM|M3
03.13.02|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA, 1KM < DMT <= 2KM|M3
03.13.03|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA, 2KM < DMT <= 5KM|M3KM
03.13.04|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA, DMT > 5KM|M3KM
03.15.01|ATERRO COMPACTADO COM ROLO VIBRATÓRIO|M3
03.15.02|ATERRO COMPACTADO COM PLACA VIBRATÓRIA|M3
03.15.03|ATERRO COMPACTADO MANUALMENTE COM SOQUETE|M3
03.17.01|ESCAVAÇÃO MANUAL DE VALAS H <= 1,5M|M3
03.17.02|ESCAVAÇÃO MANUAL DE VALAS 1,5M < H <= 3,0M|M3
03.17.03|ESCAVAÇÃO MANUAL DE VALAS 3,0M < H <= 5,0M|M3
03.18.01|ESCAVAÇÃO MECÂNICA DE VALAS, H <= 1,5M, COM DESCARGA LATERAL|M3
03.18.02|ESCAVAÇÃO MECÂNICA DE VALAS, 1,5M < H <= 3,0M, COM DESCARGA LATERAL|M3
03.18.03|ESCAVAÇÃO MECÂNICA DE VALAS, 3,0M < H <= 5,0M, COM DESCARGA LATERAL|M3
03.18.04|ESCAVAÇÃO MECÂNICA DE VALAS, H > 5,0M, COM DESCARGA LATERAL|M3
03.19.01|ESCAVAÇÃO MECÂNICA DE VALAS H <= 1,5M, COM DESCARGA, SEM CAMINHÕES|M3
03.19.02|ESCAVAÇÃO MECÂNICA DE VALAS 1,5M < H <= 3,0M, COM DESCARGA, SEM CAMINHÕES|M3
03.19.03|ESCAVAÇÃO MECÂNICA DE VALAS 3,0M < H <= 5,0M, COM DESCARGA, SEM CAMINHÕES|M3
03.19.04|ESCAVAÇÃO MECÂNICA DE VALAS H > 5,0M, COM DESCARGA, SEM CAMINHÕES|M3
03.22.01|REATERRO MANUAL DE VALA|M3
03.22.02|REATERRO DE VALA COMPACTADO COM EQUIPAMENTO PLACA VIBRATÓRIA OU EQUIVALENTE|M3
03.23.01|REGULARIZAÇÃO MANUAL DE TERRENO COM SOQUETE|M2
03.23.03|REGULARIZAÇÃO DE TERRENO COM PLACA VIBRATÓRIA|M2
03.23.05|COM ROLO VIBRATORIO|M2
03.23.06|PREPARO DE FUNDO DE VALA COM LARGURA MENOR QUE 1,5 M, COM CAMADA DE AREIA, LANÇAMENTO MANUAL REF 101618|M3
03.24.01|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA EM CARRINHO DE MÃO, DMT <= 50,0M|M3
03.24.02|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA EM CARRINHO DE MÃO, 50,0 < DMT <= 100,0M|M3
03.25.01|TRANSPORTE DE MATERIAL DE QUALQUER NATUREZA EM CAÇAMBA DE 5M3|VG
03.26.01|ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FORMAS) REF 96521|M3
03.26.02|ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME COM MINI ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS) REF 96525|M3
04.01.06|TUBULÃO A CÉU ABERTO, D=90CM, INCLUSIVE CONCRETO, EXCLUSIVE ARMAÇÃO E ENCAMISAMENTO|M3
04.01.07|TUBULÃO A CÉU ABERTO, D=100CM, INCLUSIVE CONCRETO, EXCLUSIVE ARMAÇÃO E ENCAMISAMENTO|M3
04.01.08|TUBULÃO A CÉU ABERTO, D=120CM, INCLUSIVE CONCRETO, EXCLUSIVE ARMAÇÃO E ENCAMISAMENTO|M3
04.01.09|ALARGAMENTO DE BASE DE TUBULÃO A CÉU ABERTO|M3
04.03.25|ESTACA ESCAVADA COM TRADO MANUAL, D=20CM, INCLUSIVE CONCRETO EXCLUSIVE ARMAÇÃO|M
04.03.26|ESTACA ESCAVADA COM TRADO MANUAL, D=25CM, INCLUSIVE CONCRETO EXCLUSIVE ARMAÇÃO|M
04.03.27|ESTACA ESCAVADA COM TRADO MANUAL, D=30CM, INCLUSIVE CONCRETO EXCLUSIVE ARMAÇÃO|M
04.04.01|MOBILIZAÇÃO E DESMOBILIZAÇÃO DE EQUIPAMENTO|UN
04.04.07|ESTACA TRADO MECANIZADO, SEM FLUIDO ESTABILIZANTE, D= 25CM, INCLUSIVE CONCRETO, EXCLUSIVE ARMAÇÃO|M
04.04.08|ESTACA TRADO MECANIZADO, SEM FLUIDO ESTABILIZANTE, D= 40CM, INCLUSIVE CONCRETO, EXCLUSIVE ARMAÇÃO|M
04.04.09|ESTACA TRADO MECANIZADO, SEM FLUIDO ESTABILIZANTE, D= 60CM, INCLUSIVE CONCRETO, EXCLUSIVE ARMAÇÃO|M
04.06.01|MOBILIZAÇÃO E DESMOBILIZAÇÃO DE EQUIPAMENTO - HÉLICE CONTÍNUA|UN
04.06.07|ESTACA HÉLICE CONTÍNUA, D=30 CM, INCLUSIVE CONCRETO E EXCLUSIVE ARMAÇÃO|M
04.06.08|ESTACA HÉLICE CONTÍNUA, D=50 CM, INCLUSIVE CONCRETO E EXCLUSIVE ARMAÇÃO|M
04.06.09|ESTACA HÉLICE CONTÍNUA, D=70 CM, INCLUSIVE CONCRETO E EXCLUSIVE ARMAÇÃO|M
04.06.10|ESTACA HÉLICE CONTÍNUA, D=80 CM, INCLUSIVE CONCRETO E EXCLUSIVE ARMAÇÃO|M
